5,6,1
9,4,1
2,10,1
10,10,1
7,9,1
8,1,0
4,9,1
7,4,1
8,9,1
7,3,0
9,10,1
2,1,0
10,1,1
9,1,0
4,2,0
9,2,1
6,9,1
5,7,1
10,6,1
3,3,0
4,1,0
6,3,0
9,5,1
7,4,1
9,8,1
8,1,0
7,3,0
9,2,1
5,4,0
1,3,0
5,1,0
10,7,1
9,7,1
10,5,1
6,6,1
5,4,0
2,10,1
1,5,0
3,8,1
3,1,0
6,6,1
3,1,0
2,8,0
9,5,1
1,5,0
3,7,0
4,7,1
3,4,0
10,4,1
9,6,1
10,5,1
8,3,1
3,1,0
10,2,1
8,5,1
7,4,1
7,5,1
8,8,1
1,7,0
1,10,1
6,9,1
3,4,0
10,6,1
7,1,0
5,4,0
9,5,1
5,9,1
3,2,0
1,9,0
4,9,1
4,4,0
6,6,1
4,5,0
